"filename", "language", "PHP", "Markdown", "JSON", "SQL", "Batch", "XML", "CSS", "JavaScript", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\school\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\xampp\htdocs\school\School.session.sql", "SQL", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\xampp\htdocs\school\composer.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\school\composer.lock", "JSON", 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 1, 170
"c:\xampp\htdocs\school\database.sql", "SQL", 0, 0, 0, 97, 0, 0, 0, 0, 0, 1, 35, 133
"c:\xampp\htdocs\school\etc\pages.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 1, 22
"c:\xampp\htdocs\school\events\PageNotFound.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 43
"c:\xampp\htdocs\school\events\defaults\test_event.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\xampp\htdocs\school\events\sppdb_connection.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 34
"c:\xampp\htdocs\school\events\test_event.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 34
"c:\xampp\htdocs\school\global.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\school\index.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 67, 2, 78
"c:\xampp\htdocs\school\js\home.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 6, 1, 15
"c:\xampp\htdocs\school\js\pages\login-form.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 2, 23
"c:\xampp\htdocs\school\js\pages\navbar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\xampp\htdocs\school\js\services.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\xampp\htdocs\school\loadcomp.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 10
"c:\xampp\htdocs\school\oldsrc\comp\forms\login-form.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\xampp\htdocs\school\oldsrc\comp\home-welcome.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\school\oldsrc\comp\loggedout.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\school\oldsrc\comp\login-form.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 41
"c:\xampp\htdocs\school\oldsrc\comp\navbar.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"c:\xampp\htdocs\school\oldsrc\home.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 0, 0, 35, 11, 111
"c:\xampp\htdocs\school\oldsrc\server\auth.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 0, 16, 1, 61
"c:\xampp\htdocs\school\oldsrc\server\class.person.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8, 61
"c:\xampp\htdocs\school\oldsrc\server\class.student.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
