[2026-05-15 15:55:53] URI: /school1/lekhak/node/3, VIEW: landing-page, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/premium/views/landing-page.blade.php, IS_ADMIN: NO
[2026-05-15 16:09:23] URI: /school1/lekhak/node/3, VIEW: landing-page, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/premium/views/landing-page.blade.php, IS_ADMIN: NO
[2026-05-15 16:13:14] URI: /school1/lekhak/node/3, VIEW: landing-page, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/premium/views/landing-page.blade.php, IS_ADMIN: NO
[2026-05-15 16:15:52] URI: /school1/lekhak/node/4, VIEW: landing-page, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/premium/views/landing-page.blade.php, IS_ADMIN: NO
[2026-05-15 16:16:05] URI: /school1/lekhak/node/5, VIEW: landing-page, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/premium/views/landing-page.blade.php, IS_ADMIN: NO
[2026-05-15 16:16:09] URI: /school1/lekhak/node/3?t=1778861644890, VIEW: landing-page, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/premium/views/landing-page.blade.php, IS_ADMIN: NO
[2026-05-15 16:16:22] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-16 10:53:40] URI: /school1/lekhak/node/1, VIEW: 404, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/404.blade.php, IS_ADMIN: NO
[2026-05-17 10:26:10] URI: /school1/lekhak/admin/login, VIEW: login, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/login.blade.php, IS_ADMIN: NO
[2026-05-17 10:27:02] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 10:27:37] URI: /school1/lekhak/admin/content, VIEW: content, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/content.blade.php, IS_ADMIN: YES
[2026-05-17 10:29:06] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 10:31:18] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
